date,S_USDJPY,S_USDTRY,S_TRYJPY,PPP_JPY,PPP_TRY,d_USDJPY,d_USDTRY,m_USD,m_JPY,m_TRY,D_mTRY,pct_TRYJPY
2022-01,114.84,13.54,8.481536189069425,92.5,4.975,0.21633121073448375,1.0012228968735728,-0.4058513692026855,-0.261630562046363,0.26163056204636304,,-54.38308914527526
2022-02,115.27,13.63,8.45707997065297,92.5,4.975,0.22006855809454168,1.0078478750978854,-0.409305477730809,-0.2625931056677812,0.26259310566778127,0.0009625436214182326,-54.51462394162322
2022-03,118.46,14.6,8.113698630136986,92.5,4.975,0.24736670633043956,1.0765961581037347,-0.44132095481139144,-0.2764098172577651,0.276409817257765,0.01381671158998371,-56.361458718992964
2022-04,126.05,14.71,8.569000679809653,92.5,4.975,0.3094700091155494,1.0841021640027901,-0.46452405770611316,-0.2582107182957469,0.25821071829574693,-0.018199098962018045,-53.91267201940213
2022-05,128.86,15.57,8.27617212588311,92.5,4.975,0.33151789919211694,1.1409206152353508,-0.4908128381424892,-0.2698009053477446,0.26980090534774465,0.011590187051997713,-55.487614782412464
2022-06,133.89,16.97,7.8898055391868,92.5,4.975,0.3698099227909087,1.2270217086355788,-0.5322772104754958,-0.28573726194822335,0.2857372619482234,0.015936356600478763,-57.565640478427746
2022-07,136.46,17.41,7.838024124066629,92.5,4.975,0.38882288686889815,1.2526193831695416,-0.5471474233461465,-0.28793216543354777,0.2879321654335478,0.0021949034853244176,-57.84414052191191
2022-08,135.29,18.02,7.507769145394007,92.5,4.975,0.3802119780968892,1.287056881569636,-0.5557562865555083,-0.30228163449091555,0.3022816344909156,0.01434946905736778,-59.62037675855656
2022-09,142.78,18.3,7.802185792349727,92.5,4.975,0.43409633955593496,1.3024756892368192,-0.5788573429309181,-0.2894597832269614,0.2894597832269614,-0.012821851263954187,-58.036892630335245
2022-10,146.9,18.58,7.906350914962326,92.5,4.975,0.4625434386614521,1.3176603627751364,-0.5934012671455294,-0.2850389747045614,0.28503897470456147,-0.004420808522399955,-57.47665318709452
2022-11,142.2,18.6,7.645161290322579,92.5,4.975,0.4300258728507609,1.3187362101085995,-0.5829206943197868,-0.2962367790859462,0.2962367790859462,0.011197804381384735,-58.88142981691369
2022-12,134.98,18.65,7.237533512064343,92.5,4.975,0.3779179747968809,1.3214207754792684,-0.5664462500920497,-0.31450093356079584,0.31450093356079584,0.018264154474849637,-61.07380624592421
2023-01,130.34,18.78,6.940362087326943,92.52833333333334,5.23325,0.3426315169817477,1.2777599737876246,-0.5401304969231241,-0.311709485601959,0.31170948560195894,-0.0027914479588369012,-60.74645615558796
2023-02,133.09,18.85,7.060477453580901,92.55666666666667,5.491499999999999,0.36320452153797766,1.2333114716477565,-0.532171997728578,-0.290035650036593,0.2900356500365929,-0.021673835565366062,-58.10932552705782
2023-03,133.63,18.99,7.0368615060558195,92.58500000000001,5.74975,0.3669476453031902,1.194756149221012,-0.5205679315080673,-0.2759361679726072,0.2759361679726073,-0.014099482063985591,-56.29940655133721
2023-04,133.45,19.34,6.900206825232678,92.61333333333333,6.008,0.3652937560828242,1.1690835755633147,-0.511459110548713,-0.26792993982683017,0.26792993982683017,-0.008006228145777117,-55.23706888209266
2023-05,135.87,19.74,6.882978723404256,92.64166666666667,6.266249999999999,0.3829595417846633,1.1474689444097594,-0.5101428287314742,-0.2548364675416987,0.25483646754169875,-0.013093472285131413,-53.44377214119069
2023-06,141.43,23.54,6.008071367884453,92.67,6.5245,0.4227600994338085,1.2831367799119662,-0.5686322931152582,-0.2867922268260526,0.28679222682605254,0.03195575928435379,-57.699728456067646
2023-07,141.25,26.43,5.344305713204692,92.69833333333334,6.78275,0.42118087676056026,1.360117104179488,-0.5937659936466827,-0.3129787424729759,0.3129787424729759,0.02618651564692337,-60.89564043628351
2023-08,145.31,26.92,5.397845468053491,92.72666666666667,7.041,0.44921329382173003,1.3411192992395309,-0.5967775310204203,-0.2973020018059336,0.29730200180593364,-0.015676740667042277,-59.01262138841976
2023-09,147.59,26.99,5.468321600592812,92.755,7.29925,0.4644765508033481,1.3076948238796824,-0.5907237915610102,-0.28107275769211143,0.28107275769211143,-0.016229244113822205,-56.9676605647921
2023-10,149.53,27.86,5.367193108399139,92.78333333333333,7.557499999999999,0.4772300156343452,1.3046515206801836,-0.5939605121048429,-0.2758071683486128,0.2758071683486128,-0.005265589343498633,-56.282491198067376
2023-11,151.65,28.65,5.293193717277488,92.81166666666667,7.8157499999999995,0.4910028838535253,1.299012514602239,-0.5966717994852547,-0.26933654358290454,0.26933654358290465,-0.006470624765708144,-55.425562020782394
2023-12,142.81,29.09,4.909247163973874,92.84,8.074,0.43063749405860546,1.2817454500763612,-0.5707943147116555,-0.2837026520059186,0.28370265200591854,0.01436610842301389,-57.305836275393084
2024-01,145.97,30.07,4.8543398736282,92.87,8.447,0.45220045535456965,1.2697166482550781,-0.5739723678698826,-0.27250539763350284,0.2725053976335028,-0.011197254372415755,-55.84730385211866
2024-02,149.51,30.78,4.857374918778427,92.9,8.82,0.47583963440604354,1.2498432583920334,-0.5752276309326924,-0.25800120799532994,0.25800120799532994,-0.014504189638172849,-53.88369560427802
2024-03,149.72,32.03,4.674367780206056,92.93,9.193,0.47692036146698014,1.2482306387394493,-0.5750503334021432,-0.25710342575748973,0.25710342575748973,-0.0008977822378402056,-53.75932099060123
2024-04,153.84,32.37,4.752548656163114,92.96000000000001,9.566,0.5037438081769231,1.2190169226800476,-0.5742535769523235,-0.23842437150104145,0.23842437150104154,-0.018679054256448197,-51.09414754210806
2024-05,155.77,32.26,4.828580285182889,92.99000000000001,9.939,0.5158885998484086,1.1773616607111943,-0.5644167535198676,-0.22049102028759524,0.22049102028759524,-0.017933351213446302,-48.39094584962606
2024-06,157.98,32.59,4.847499232893525,93.02000000000001,10.312000000000001,0.5296539189403219,1.150697227212584,-0.5601170487176352,-0.20701443609075398,0.20701443609075407,-0.013476584196841168,-46.26165116147277
2024-07,157.91,32.91,4.798237617745366,93.05,10.685,0.528888267390292,1.1249356741841374,-0.5512746471914766,-0.19868246893128183,0.19868246893128175,-0.00833196715947232,-44.90148420676062
