date,S_USDJPY,S_USDTRY,S_TRYJPY,PPP_JPY,PPP_TRY,PPP_changed,d_USDJPY,d_USDTRY,m_USD,m_JPY,m_TRY,D_mTRY,pct_TRYJPY
2022-01,114.84,13.54,8.481536189069425,92.5,4.975,,0.21633121073448375,1.0012228968735728,0.4058513692026855,0.18952015846820178,-0.5953715276708873,,
2022-02,115.27,13.63,8.45707997065297,92.5,4.975,NO,0.22006855809454168,1.0078478750978854,0.409305477730809,0.18923691963626735,-0.5985423973670764,-0.0031708696961890714,-0.2883465668397811
2022-03,118.46,14.6,8.113698630136986,92.5,4.975,NO,0.24736670633043956,1.0765961581037347,0.44132095481139144,0.19395424848095186,-0.6352752032923433,-0.036732805925266954,-4.060282529047332
2022-04,126.05,14.71,8.569000679809653,92.5,4.975,NO,0.3094700091155494,1.0841021640027901,0.46452405770611316,0.1550540485905638,-0.619578106296677,0.01569709699566635,5.6115228137944895
2022-05,128.86,15.57,8.27617212588311,92.5,4.975,NO,0.33151789919211694,1.1409206152353508,0.4908128381424892,0.1592949389503723,-0.6501077770928615,-0.030529670796184516,-3.41730109342282
2022-06,133.89,16.97,7.8898055391868,92.5,4.975,NO,0.3698099227909087,1.2270217086355788,0.5322772104754958,0.16246728768458715,-0.694744498160083,-0.044636721067221496,-4.6684213525233105
2022-07,136.46,17.41,7.838024124066629,92.5,4.975,NO,0.38882288686889815,1.2526193831695416,0.5471474233461465,0.15832453647724842,-0.7054719598233951,-0.010727461663312066,-0.6563078755615126
2022-08,135.29,18.02,7.507769145394007,92.5,4.975,NO,0.3802119780968892,1.287056881569636,0.5557562865555083,0.17554430845861915,-0.7313005950141275,-0.02582863519073242,-4.213497859219073
2022-09,142.78,18.3,7.802185792349727,92.5,4.975,NO,0.43409633955593496,1.3024756892368192,0.5788573429309181,0.1447610033749831,-0.723618346305901,0.007682248708226425,3.9214930727637487
2022-10,146.9,18.58,7.906350914962326,92.5,4.975,NO,0.4625434386614521,1.3176603627751364,0.5934012671455294,0.13085782848407743,-0.7242590956296069,-0.0006407493237058359,1.335076161794757
2022-11,142.2,18.6,7.645161290322579,92.5,4.975,NO,0.4300258728507609,1.3187362101085995,0.5829206943197868,0.15289482146902592,-0.7358155157888128,-0.011556420159205882,-3.3035420189288622
2022-12,134.98,18.65,7.237533512064343,92.5,4.975,NO,0.3779179747968809,1.3214207754792684,0.5664462500920497,0.18852827529516888,-0.7549745253872185,-0.019159009598405774,-5.331840137554988
