date,S_USDJPY,S_USDTRY,S_TRYJPY,PPP_JPY,PPP_TRY,d_USDJPY,d_USDTRY,m_USD,m_JPY,m_TRY,D_mTRY,pct_TRYJPY
2022-01,114.84,13.54,8.481536189069425,92.5,4.975,0.21633121073448375,1.0012228968735728,0.4058513692026855,0.18952015846820178,-0.5953715276708873,,-54.38308914527526
2022-02,115.27,13.63,8.45707997065297,92.5,4.975,0.22006855809454168,1.0078478750978854,0.409305477730809,0.18923691963626735,-0.5985423973670764,-0.0031708696961890714,-54.51462394162322
2022-03,118.46,14.6,8.113698630136986,92.5,4.975,0.24736670633043956,1.0765961581037347,0.44132095481139144,0.19395424848095186,-0.6352752032923433,-0.036732805925266954,-56.361458718992964
2022-04,126.05,14.71,8.569000679809653,92.5,4.975,0.3094700091155494,1.0841021640027901,0.46452405770611316,0.1550540485905638,-0.619578106296677,0.01569709699566635,-53.91267201940213
2022-05,128.86,15.57,8.27617212588311,92.5,4.975,0.33151789919211694,1.1409206152353508,0.4908128381424892,0.1592949389503723,-0.6501077770928615,-0.030529670796184516,-55.487614782412464
2022-06,133.89,16.97,7.8898055391868,92.5,4.975,0.3698099227909087,1.2270217086355788,0.5322772104754958,0.16246728768458715,-0.694744498160083,-0.044636721067221496,-57.565640478427746
2022-07,136.46,17.41,7.838024124066629,92.5,4.975,0.38882288686889815,1.2526193831695416,0.5471474233461465,0.15832453647724842,-0.7054719598233951,-0.010727461663312066,-57.84414052191191
2022-08,135.29,18.02,7.507769145394007,92.5,4.975,0.3802119780968892,1.287056881569636,0.5557562865555083,0.17554430845861915,-0.7313005950141275,-0.02582863519073242,-59.62037675855656
2022-09,142.78,18.3,7.802185792349727,92.5,4.975,0.43409633955593496,1.3024756892368192,0.5788573429309181,0.1447610033749831,-0.723618346305901,0.007682248708226425,-58.036892630335245
2022-10,146.9,18.58,7.906350914962326,92.5,4.975,0.4625434386614521,1.3176603627751364,0.5934012671455294,0.13085782848407743,-0.7242590956296069,-0.0006407493237058359,-57.47665318709452
2022-11,142.2,18.6,7.645161290322579,92.5,4.975,0.4300258728507609,1.3187362101085995,0.5829206943197868,0.15289482146902592,-0.7358155157888128,-0.011556420159205882,-58.88142981691369
2022-12,134.98,18.65,7.237533512064343,92.5,4.975,0.3779179747968809,1.3214207754792684,0.5664462500920497,0.18852827529516888,-0.7549745253872185,-0.019159009598405774,-61.07380624592421
2023-01,130.34,18.78,6.940362087326943,92.52833333333334,5.23325,0.3426315169817477,1.2777599737876246,0.5401304969231241,0.1974989799413764,-0.7376294768645005,0.01734504852271801,-60.74645615558796
2023-02,133.09,18.85,7.060477453580901,92.55666666666667,5.491499999999999,0.36320452153797766,1.2333114716477565,0.532171997728578,0.16896747619060037,-0.7011394739191784,0.03649000294532212,-58.10932552705782
2023-03,133.63,18.99,7.0368615060558195,92.58500000000001,5.74975,0.3669476453031902,1.194756149221012,0.5205679315080673,0.1536202862048772,-0.6741882177129446,0.026951256206233842,-56.29940655133721
2023-04,133.45,19.34,6.900206825232678,92.61333333333333,6.008,0.3652937560828242,1.1690835755633147,0.511459110548713,0.14616535446588874,-0.6576244650146017,0.01656375269834287,-55.23706888209266
2023-05,135.87,19.74,6.882978723404256,92.64166666666667,6.266249999999999,0.3829595417846633,1.1474689444097594,0.5101428287314742,0.12718328694681094,-0.6373261156782851,0.02029834933631658,-53.44377214119069
2023-06,141.43,23.54,6.008071367884453,92.67,6.5245,0.4227600994338085,1.2831367799119662,0.5686322931152582,0.14587219368144974,-0.714504486796708,-0.07717837111842285,-57.699728456067646
2023-07,141.25,26.43,5.344305713204692,92.69833333333334,6.78275,0.42118087676056026,1.360117104179488,0.5937659936466827,0.17258511688612246,-0.7663511105328052,-0.051846623736097275,-60.89564043628351
2023-08,145.31,26.92,5.397845468053491,92.72666666666667,7.041,0.44921329382173003,1.3411192992395309,0.5967775310204203,0.14756423719869027,-0.7443417682191106,0.02200934231369467,-59.01262138841976
2023-09,147.59,26.99,5.468321600592812,92.755,7.29925,0.4644765508033481,1.3076948238796824,0.5907237915610102,0.12624724075766205,-0.7169710323186722,0.02737073590043837,-56.9676605647921
2023-10,149.53,27.86,5.367193108399139,92.78333333333333,7.557499999999999,0.4772300156343452,1.3046515206801836,0.5939605121048429,0.11673049647049775,-0.7106910085753407,0.006280023743331475,-56.282491198067376
2023-11,151.65,28.65,5.293193717277488,92.81166666666667,7.8157499999999995,0.4910028838535253,1.299012514602239,0.5966717994852547,0.10566891563172949,-0.7023407151169843,0.008350293458356473,-55.425562020782394
2023-12,142.81,29.09,4.909247163973874,92.84,8.074,0.43063749405860546,1.2817454500763612,0.5707943147116555,0.1401568206530501,-0.7109511353647057,-0.008610420247721406,-57.305836275393084
2024-01,145.97,30.07,4.8543398736282,92.87,8.447,0.45220045535456965,1.2697166482550781,0.5739723678698826,0.12177191251531294,-0.6957442803851955,0.015206854979510132,-55.84730385211866
2024-02,149.51,30.78,4.857374918778427,92.9,8.82,0.47583963440604354,1.2498432583920334,0.5752276309326924,0.09938799652664876,-0.6746156274593411,0.02112865292585442,-53.88369560427802
2024-03,149.72,32.03,4.674367780206056,92.93,9.193,0.47692036146698014,1.2482306387394493,0.5750503334021432,0.098129971935163,-0.6731803053373061,0.0014353221220350099,-53.75932099060123
2024-04,153.84,32.37,4.752548656163114,92.96000000000001,9.566,0.5037438081769231,1.2190169226800476,0.5742535769523235,0.07050976877540045,-0.644763345727724,0.028416959609582126,-51.09414754210806
2024-05,155.77,32.26,4.828580285182889,92.99000000000001,9.939,0.5158885998484086,1.1773616607111943,0.5644167535198676,0.04852815367145902,-0.6129449071913267,0.03181843853639732,-48.39094584962606
2024-06,157.98,32.59,4.847499232893525,93.02000000000001,10.312000000000001,0.5296539189403219,1.150697227212584,0.5601170487176352,0.030463129777313396,-0.5905801784949487,0.022364728696377956,-46.26165116147277
2024-07,157.91,32.91,4.798237617745366,93.05,10.685,0.528888267390292,1.1249356741841374,0.5512746471914766,0.022386379801184447,-0.573661026992661,0.016919151502287733,-44.90148420676062
2024-08,146.33,33.68,4.344714964370547,93.08,11.058,0.4524050066702442,1.1137500414583847,0.5220516827095429,0.06964667603929879,-0.5916983587488418,-0.01803733175618083,-48.38433812203533
2024-09,143.15,34.06,4.202877275396359,93.11,11.431000000000001,0.43011144164368564,1.0917947121909009,0.5073020512781955,0.07719060963450985,-0.5844926609127054,0.007205697836136449,-48.40179343243929
2024-10,149.67,34.26,4.368651488616462,93.14,11.804,0.47432913298682444,1.065540035815281,0.5132897229340351,0.03896058994721067,-0.5522503128812458,0.03224234803145953,-44.634354550538205
2024-11,153.5,34.46,4.454439930354034,93.17,12.177,0.4992747855649182,1.0402503045749132,0.5131750300466105,0.013900244481692248,-0.5270752745283027,0.025175038352943102,-41.78199524318872
2024-12,153.8,34.99,4.395541583309517,93.2,12.55,0.5009053353799982,1.0253416408018037,0.5087489920606006,0.007843656680602459,-0.516592648741203,0.010482625787099686,-40.811108508010264
2025-01,156.69,35.52,4.4113175675675675,93.22666666666667,12.88,0.519235527317256,1.0144201974477618,0.5112185749216726,-0.008016952395583385,-0.5032016225260892,0.013391026215113788,-39.054165184921764
2025-02,151.86,36.17,4.198507050041471,93.25333333333333,13.21,0.48763923969807704,1.0072559274297725,0.49829838904261653,0.010659149344539487,-0.508957538387156,-0.005755915861066718,-40.52515213284833
2025-03,149.18,37.09,4.022108385009436,93.28,13.540000000000001,0.46954790792483503,1.0076991240173705,0.4924156773140685,0.02286776938923348,-0.515283446703302,-0.0063259083161459895,-41.61733755035617
2025-04,144.35,38.13,3.7857330186205083,93.30666666666667,13.870000000000001,0.43634934671762104,1.0112731395427321,0.4825408287534511,0.04619148203583001,-0.5287323107892811,-0.013448864085979118,-43.72522474106911
2025-05,144.71,38.83,3.7267576616018547,93.33333333333333,14.200000000000001,0.4385544252487615,1.005951179136361,0.4815018681283741,0.04294744287961264,-0.5244493110079868,0.004282999781294317,-43.30004414848606
2025-06,144.58,39.48,3.66210739614995,93.36,14.530000000000001,0.43736999959385064,0.9995787369830891,0.47898291219231326,0.041612912598462594,-0.5205958247907758,0.003853486217210933,-43.00511946651802
2025-07,146.81,40.24,3.6483598409542743,93.38666666666667,14.860000000000001,0.45239065388193694,0.9961884865018708,0.48285971346126927,0.030469059579332287,-0.5133287730406015,0.00726705175017428,-41.94607306191407
2025-08,147.51,40.86,3.610132158590308,93.41333333333333,15.190000000000001,0.4568618798708361,0.9895142727817944,0.4821253842175435,0.025263504346707395,-0.5073888885642509,0.005939884476350632,-41.29541733265759
2025-09,147.95,41.35,3.5779927448609428,93.44,15.520000000000001,0.4595548597663016,0.9799429067146275,0.4798325888269764,0.020277729060674748,-0.5001103178876511,0.00727857067659976,-40.57101091583707
2025-10,151.09,41.85,3.610274790919952,93.46666666666667,15.850000000000001,0.4802708192594243,0.9709222966121948,0.48373103862387296,0.0034602193644487356,-0.48719125798832175,0.0129190598993294,-38.777258805904516
2025-11,154.34,42.2,3.6573459715639807,93.49333333333333,16.18,0.5012678285246425,0.9586443094116205,0.48663737931208767,-0.014630449212554816,-0.4720069300995329,0.015184327888788873,-36.70579953661023
