base_month,target_month,pred_USDJPY,actual_USDJPY,error_pct_USDJPY,pred_USDTRY,actual_USDTRY,error_pct_USDTRY,pred_TRYJPY,actual_TRYJPY,error_pct_TRYJPY,avg_delta_m_USD,avg_delta_m_JPY,avg_delta_m_TRY
2022-04,2022-05,71.43208540923638,128.86,-44.56612959084559,0.8481469596294987,15.57,-94.55268490925177,84.2213540922678,8.27617212588311,917.6365693129052,-0.0011147188649628667,0.03521017487662967,-0.034095456011666934
2022-05,2022-06,68.70825923917182,133.89,-48.68305382091879,0.8723082702911442,16.97,-94.85970376964559,78.76602983053175,7.8898055391868,898.3266309837358,-0.009892884838826067,0.032563535506438535,-0.022670650667612466
2022-06,2022-07,65.17843125198924,136.46,-52.23623680786367,0.8765734356613519,17.41,-94.9651152460577,74.35592798088138,7.83802412406663,848.6565338906232,-0.014083547994222333,0.032065808738703065,-0.017982260744480498
2022-07,2022-08,64.17645932293519,135.29,-52.563782006848115,0.9314305328742413,18.02,-94.83112911834493,68.90096154019903,7.50776914539401,817.7288247131244,-0.012240829741040868,0.019573695734582498,-0.007332865993541532
2022-08,2022-09,64.68732350847841,142.78,-54.69440852466844,0.9903172686586696,18.3,-94.58843022590891,65.31979755951731,7.80218579234973,737.1986940321938,-0.0071919481226786,0.014431901340470702,-0.007239953217792098
2022-09,2022-10,60.31145074351512,146.9,-58.94387287711701,1.0865223780794802,18.58,-94.15219387470678,55.5087055363928,7.90635091496233,602.0774328564859,-0.0018374833756526002,0.02501304929012127,-0.023175565914468732
2022-10,2022-11,57.79534874047023,142.2,-59.3562948379253,1.1646551781329986,18.6,-93.73841302079032,49.62442946685655,7.64516129032258,549.0959128576173,-0.0024280095371723336,0.0275967908287893,-0.025168781291616964
2022-11,2022-12,59.51996532550281,134.98,-55.90460414468602,1.2718546711653715,18.65,-93.18040390796047,46.79777232013939,7.23753351206434,546.5983506968439,0.0032945513949497,0.025380346122960865,-0.028674897517910497
2022-12,2023-01,64.43443479415255,130.34,-50.564343414030574,1.417753115764163,18.78,-92.45072888304492,45.44827592173738,6.94036208732694,554.8401272136169,0.015897276693787266,0.002682527667400167,-0.018579804361187332
2023-01,2023-02,169.73092331140896,133.09,27.530936442564396,48.37933698344276,18.85,156.6543076044709,3.5083350433160607,7.0604774535809,-50.31022949394563,0.38729105906724587,0.1235292665674404,-0.5108203256346867
2023-02,2023-03,172.94074512441844,133.63,29.417604672916596,47.112547913528026,18.99,148.0913528885099,3.670800090070267,7.03686150605582,-47.834697515202905,0.37722962913712027,0.11561227007000967,-0.4928418992071301
2023-03,2023-04,171.18139786863782,133.45,28.273808818761957,46.196877316051435,19.34,138.86699749768064,3.705475517263147,6.90020682523268,-46.299065939401096,0.36413572566086544,0.1167926902371138,-0.4809284158979798
2023-04,2023-05,134.5030452749136,135.87,-1.006075458222125,19.453678907315602,19.74,-1.4504614624336183,6.914015899806664,6.88297872340426,0.45092651960216307,-0.009557128791470299,-0.017111208491828966,0.026668337283299603
2023-05,2023-06,136.80948589636648,141.43,-3.2669971743148727,19.973753577547885,23.54,-15.14972991695885,6.849462989778316,6.00807136788445,14.004354648505698,-0.007343056332367966,-0.013928063081262968,0.02127111941363093
2023-06,2023-07,144.12986653303827,141.25,2.0388435632129327,25.203417857312495,26.43,-4.640870763100662,5.718663530042636,5.34430571320469,7.004797946213737,0.016021453869063666,-0.0025826975078090003,-0.013438756361254337
2023-07,2023-08,143.94999963136755,145.31,-0.9359303342044288,29.240219818577895,26.92,8.6189443483577,4.923013593075258,5.39784546805349,-8.796692639470107,0.027435627699323336,0.008806587473411,-0.0362422151727343
2023-08,2023-09,148.60020119573363,147.59,0.6844645272265254,29.768209258524127,26.99,10.29347631909644,4.991909318602427,5.46832160059281,-8.712221350308583,0.028878234096315267,0.0067936500839596665,-0.0356718841802753
2023-09,2023-10,149.7023606572268,149.53,0.1152682787579681,28.174611928146067,27.86,1.1292603307468334,5.3133779105463415,5.36719310839914,-1.002669305275838,0.0073638328152506325,-0.006541650974595932,-0.0008221818406546656
2023-10,2023-11,152.39645962973213,151.65,0.4922252751283411,28.284216307344323,28.65,-1.2767319115381341,5.3880389675198685,5.29319371727749,1.7918341044801414,6.483948605329988e-05,-0.0186182068052079,0.018553367319154666
2023-11,2023-12,153.8241902638148,142.81,7.712478302510196,29.184155500411595,29.09,0.3236696473413389,5.270811768448992,4.90924716397387,7.364970481185706,-3.5243845055033377e-05,-0.013965107188986933,0.014000351034042298
2023-12,2024-01,141.25382852555728,145.97,-3.2309183218762194,30.171778706165206,30.07,0.33847258452013895,4.681654001946326,4.8543398736282,-3.557350251061157,-0.006643158949784666,0.004636526631796002,0.002006632317988665
2024-01,2024-02,144.80397256470894,149.51,-3.1476338942485778,31.034316025096736,30.78,0.8262378982999826,4.665930850469181,4.85737491877843,-3.941307218619957,-0.006662714744986666,0.0016804720149383341,0.004982242730048331
2024-02,2024-03,148.80425828448784,149.72,-0.6116361979108703,31.560168380178837,32.03,-1.4668486413398822,4.714938668639785,4.67436778020606,0.8679438662384624,-0.007148056184187666,-0.002093639701693398,0.009241695885881
2024-03,2024-04,152.09681776283568,153.84,-1.1331137787079557,32.95932350878667,32.37,1.8205854457419524,4.614682632132544,4.75254865616311,-2.9008861140596847,0.001418672896828967,-0.01400894957262893,0.012590276675799964
2024-04,2024-05,156.55648733190995,155.77,0.5049029542979642,33.06857468551437,32.26,2.5064311392262013,4.7342980101434256,4.82858028518289,-1.952587913444907,9.373636081333332e-05,-0.017087381246637497,0.016993644885823965
2024-05,2024-06,157.9143470557807,157.98,-0.04155775681687226,32.67170437872825,32.59,0.25070383163009263,4.833367283972944,4.84749923289352,-0.2915307097870398,-0.0036036258042746335,-0.016953280951729897,0.02055690675600463
2024-06,2024-07,160.83335302074417,157.91,1.8512779562688704,32.688619140537476,32.91,-0.6726856866074769,4.920163569139363,4.79823761774537,2.541056969397952,-0.0049777615615025994,-0.022555614052616534,0.02753337561411893
2024-07,2024-08,159.2904224252622,146.33,8.856982454221402,33.007321679554195,33.68,-1.9972634217512009,4.82591177714161,4.34471496437055,11.075451824047896,-0.0076596432536153005,-0.01604112965807193,0.023700772911687595
2024-08,2024-09,143.31219019117083,143.15,0.1133008670421391,34.08560421661886,34.06,0.07517385971479522,4.204478503018502,4.20287727539636,0.038098367314125886,-0.014121690270108267,0.007039507455946603,0.007082182814161633
2024-09,2024-10,138.52271971427092,149.67,-7.4479055827681355,34.48757097722051,34.26,0.6642468687113515,4.016598321922034,4.36865148861646,-8.058623298557519,-0.017604999146479932,0.015575826619065501,0.0020291725274146667
2024-10,2024-11,147.01998594029095,153.5,-4.221507530755081,34.64974672956722,34.46,0.5506289308392879,4.243032051222363,4.45443993035403,-4.746003592753918,-0.012661641419147301,0.005524736715342035,0.007136904703804968
2024-11,2024-12,155.96720595104068,153.8,1.4091066001564831,34.65600648204621,34.99,-0.954539919845079,4.500437926448352,4.39554158330952,2.3864259079503913,-0.0029588842209776344,-0.0185821438525355,0.021541028073512936
2024-12,2025-01,157.51758514664547,156.69,0.5281671750880562,35.12335654067326,35.52,-1.1166764057622367,4.4846962437726665,4.41131756756757,1.6634185837035032,0.0004823135941353322,-0.023115650984635795,0.022633337390500604
2025-01,2025-02,159.09859899872203,151.86,4.766626497248789,35.814554814905875,36.17,-0.9827071747142002,4.442288891233288,4.19850705004147,5.806393517653135,-0.000690382670787301,-0.015659180780931297,0.01634956345171897
2025-02,2025-03,151.31540709104192,149.18,1.4314298773574958,36.66805973586269,37.09,-1.1376119281135406,4.126627047655046,4.02210838500944,2.598603832635435,-0.004958880334664667,-0.0010803650457175986,0.006039245380382367
2025-03,2025-04,147.67102439212806,144.35,2.3006750205251585,37.77118534286125,38.13,-0.9410297853101263,3.909621131867334,3.78573301862051,3.272500005612327,-0.0054444382488442996,0.005008037569543634,0.00043640067930039977
2025-04,2025-05,140.45651433470456,144.71,-2.9393170239067397,38.99627328809385,38.83,0.42820831340163507,3.601793261039332,3.72675766160186,-3.3531667983159075,-0.009559248722740601,0.018069478143804402,-0.008510229421063933
2025-05,2025-06,142.40225128101903,144.58,-1.5062586242778937,39.71511082627811,39.48,0.5955188102282413,3.5855937027071425,3.66210739614995,-2.0893350512671445,-0.005598840304747267,0.010762764511691067,-0.0051639242069436665
2025-06,2025-07,143.07838257971133,146.81,-2.5418005723647377,40.26751162168181,40.24,0.06836884115758086,3.553196530343126,3.64835984095427,-2.6083860901794367,-0.004477588373918268,0.006248381069743069,-0.001770792695824733
2025-07,2025-08,147.63925712601647,147.51,0.08762600909530434,40.92731077962705,40.86,0.16473514348274598,3.6073529951913894,3.61013215859031,-0.0769823174563696,0.00010629490260603213,-0.005240807485499197,0.0051345125828929335
2025-08,2025-09,148.45529717870605,147.95,0.3415323952051764,41.51956735946865,41.35,0.4100782574816229,3.5755501952466853,3.57799274486094,-0.06826591858698025,0.00020783869638969877,-0.005894646177635031,0.005686807481245267
2025-09,2025-10,149.0906752613193,151.09,-1.323267415898281,41.95372101963046,41.85,0.24783995132725364,3.553693728181075,3.61027479091995,-1.5672231621033286,0.00028322554488769883,-0.007111727845929197,0.006828502301041601
2025-10,2025-11,152.54419238876451,154.34,-1.1635399839545735,42.36303411030979,42.2,0.3863367542885963,3.600879766816329,3.65734597156398,-1.543912038584205,0.00029044172086803216,-0.009002946738294463,0.0087125050174266
