date,S_USDJPY,S_USDTRY,S_TRYJPY,PPP_JPY,PPP_TRY,d_USDJPY,d_USDTRY,m_USD,m_JPY,m_TRY,D_mTRY,pct_TRYJPY,delta_m_USD,delta_m_JPY,delta_m_TRY,avg_delta_m_USD_3m,avg_delta_m_JPY_3m,avg_delta_m_TRY_3m
2022-01,114.84,13.54,8.48153618906943,98.43325,2.8197083333333333,0.1541612017681357,1.5690148157791215,-0.5743920058490857,-0.4202308040809498,0.9946228099300358,,-54.3830891452753,,,,,,
2022-02,115.27,13.63,8.45707997065297,97.91775,3.007125,0.1631493620540786,1.511288772895276,-0.558146044983118,-0.3949966829290394,0.9531427279121576,-0.003170869696189,-54.5146239416232,0.0162459608659676,0.0252341211519104,-0.0414800820178781,,,
2022-03,118.46,14.6,8.11369863013699,97.40225,3.194541666666667,0.1957260398511283,1.5195779044876705,-0.5717679814462664,-0.3760419415951379,0.947809923041404,-0.0367328059252669,-56.361458718993,-0.0136219364631483,0.0189547413339014,-0.0053328048707536,,,
2022-04,126.05,14.71,8.56900067980965,96.88675,3.3819583333333334,0.2631358829929135,1.470072604339009,-0.5777361624439743,-0.3146002794510607,0.8923364418950349,0.0156970969956663,-53.9126720194021,-0.0059681809977079,0.0614416621440772,-0.0554734811463691,-0.0011147188649628667,0.03521017487662967,-0.034095456011666934
2022-05,128.86,15.57,8.27617212588311,96.37125,3.569375,0.2905186230898728,1.4729554754089167,-0.5878246994995964,-0.2973060764097237,0.8851307759093202,-0.0305296707961845,-55.4876147824125,-0.010088537055622,0.017294203041337,-0.0072056659857147,-0.009892884838826067,0.032563535506438535,-0.022670650667612466
2022-06,133.89,16.97,7.8898055391868,95.85575,3.7567916666666665,0.3341741100499049,1.5078817662368962,-0.6140186254289335,-0.2798445153790286,0.8938631408079626,-0.0446367210672214,-57.5656404784278,-0.0261939259293371,0.017461561030695,0.0087323648986423,-0.014083547994222333,0.032065808738703065,-0.017982260744480498
2022-07,136.46,17.41,7.83802412406663,95.34025,3.944208333333333,0.3585794594197838,1.4847964955815074,-0.614458651667097,-0.2558791922473131,0.8703378439144104,-0.010727461663312,-57.8441405219119,-0.0004400262381635,0.0239653231317155,-0.0235252968935522,-0.012240829741040868,0.019573695734582498,-0.007332865993541532
2022-08,135.29,18.02,7.50776914539401,94.82475,4.131625,0.3553901714793208,1.4728114601235762,-0.6094005438676322,-0.2540103723883115,0.8634109162559439,-0.0258286351907324,-59.6203767585566,0.0050581077994648,0.0018688198590016,-0.0069269276584664,-0.0071919481226786,0.014431901340470702,-0.007239953217792098
2022-09,142.78,18.3,7.80218579234973,94.30925,4.319041666666666,0.4147257080472265,1.4438675186204477,-0.6195310755558914,-0.2048053675086647,0.8243364430645562,0.0076822487082264,-58.0368926303352,-0.0101305316882591,0.0492050048796467,-0.0390744731913876,-0.0018374833756526002,0.02501304929012127,-0.023175565914468732
2022-10,146.9,18.58,7.90635091496233,93.79375,4.506458333333333,0.448653860517669,1.4165741803181733,-0.6217426802786141,-0.1730888197609451,0.7948315000395593,-0.0006407493237058,-57.4766531870945,-0.0022116047227227,0.0317165477477196,-0.0295049430249969,-0.0024280095371723336,0.0275967908287893,-0.025168781291616964
2022-11,142.2,18.6,7.64516129032258,93.27825,4.693875,0.4216475556633544,1.3769031133849954,-0.5995168896827832,-0.1778693340194288,0.7773862237022122,-0.0115564201592058,-58.8814298169137,0.0222257905958309,-0.0047805142584837,-0.017445276337347,0.0032945513949497,0.025380346122960865,-0.028674897517910497
2022-12,134.98,18.65,7.23753351206434,92.76275,4.881291666666666,0.3750814609680652,1.3404362754555237,-0.5718392454745295,-0.1967577845064643,0.7685970299809941,-0.0191590095984057,-61.0738062459242,0.0276776442082536,-0.0188884504870354,-0.0087891937212181,0.015897276693787266,0.002682527667400167,-0.018579804361187332
2023-01,130.34,18.78,6.94036208732694,92.5283333333333,5.23325,0.342631516981748,1.27775997378762,0.540130496923124,0.197498979941376,-0.737629476864501,0.017345048522718,-60.746456155588,1.1119697423976531,0.3942567644478403,-1.5062265068454952,0.38729105906724587,0.1235292665674404,-0.5108203256346867
2023-02,133.09,18.85,7.0604774535809,92.5566666666667,5.4915,0.363204521537978,1.23331147164776,0.532171997728578,0.1689674761906,-0.701139473919178,0.0364900029453221,-58.1093255270578,-0.0079584991945459,-0.0285315037507759,0.036490002945323,0.37722962913712027,0.11561227007000967,-0.4928418992071301
2023-03,133.63,18.99,7.03686150605582,92.585,5.74975,0.36694764530319,1.19475614922101,0.520567931508067,0.153620286204877,-0.674188217712945,0.0269512562062338,-56.2994065513372,-0.011604066220511,-0.015347189985723,0.0269512562062329,0.36413572566086544,0.1167926902371138,-0.4809284158979798
2023-04,133.45,19.34,6.90020682523268,92.6133333333333,6.008,0.365293756082824,1.16908357556331,0.511459110548713,0.146165354465889,-0.657624465014602,0.0165637526983428,-55.2370688820927,-0.009108820959354,-0.007454931738988,0.0165637526983429,-0.009557128791470299,-0.017111208491828966,0.026668337283299603
2023-05,135.87,19.74,6.88297872340426,92.6416666666667,6.26625,0.382959541784663,1.14746894440976,0.510142828731474,0.127183286946811,-0.637326115678285,0.0202983493363165,-53.4437721411907,-0.0013162818172389,-0.0189820675190779,0.020298349336317,-0.007343056332367966,-0.013928063081262968,0.02127111941363093
2023-06,141.43,23.54,6.00807136788445,92.67,6.5245,0.422760099433808,1.28313677991197,0.568632293115258,0.14587219368145,-0.714504486796708,-0.0771783711184228,-57.6997284560676,0.0584894643837839,0.0186889067346389,-0.0771783711184229,0.016021453869063666,-0.0025826975078090003,-0.013438756361254337
2023-07,141.25,26.43,5.34430571320469,92.6983333333333,6.78275,0.42118087676056,1.36011710417949,0.593765993646683,0.172585116886122,-0.766351110532805,-0.0518466237360972,-60.8956404362835,0.025133700531425,0.026712923204672,-0.051846623736097,0.027435627699323336,0.008806587473411,-0.0362422151727343
2023-08,145.31,26.92,5.39784546805349,92.7266666666667,7.041,0.44921329382173,1.34111929923953,0.59677753102042,0.14756423719869,-0.744341768219111,0.0220093423136946,-59.0126213884198,0.0030115373737369,-0.0250208796874319,0.022009342313694,0.028878234096315267,0.0067936500839596665,-0.0356718841802753
2023-09,147.59,26.99,5.46832160059281,92.755,7.29925,0.464476550803348,1.30769482387968,0.59072379156101,0.126247240757662,-0.716971032318672,0.0273707359004383,-56.9676605647921,-0.00605373945941,-0.0213169964410279,0.027370735900439,0.0073638328152506325,-0.006541650974595932,-0.0008221818406546656
2023-10,149.53,27.86,5.36719310839914,92.7833333333333,7.5575,0.477230015634345,1.30465152068018,0.593960512104843,0.116730496470498,-0.710691008575341,0.0062800237433314,-56.2824911980674,0.003236720543833,-0.0095167442871639,0.006280023743331,6.483948605329988e-05,-0.0186182068052079,0.018553367319154666
2023-11,151.65,28.65,5.29319371727749,92.8116666666667,7.81575,0.491002883853525,1.29901251460224,0.596671799485255,0.105668915631729,-0.702340715116984,0.0083502934583564,-55.4255620207824,0.0027112873804119,-0.011061580838769,0.0083502934583569,-3.5243845055033377e-05,-0.013965107188986933,0.014000351034042298
2023-12,142.81,29.09,4.90924716397387,92.84,8.074,0.430637494058605,1.28174545007636,0.570794314711656,0.14015682065305,-0.710951135364706,-0.0086104202477214,-57.3058362753931,-0.0258774847735989,0.0344879050213209,-0.0086104202477219,-0.006643158949784666,0.004636526631796002,0.002006632317988665
2024-01,145.97,30.07,4.8543398736282,92.87,8.447,0.45220045535457,1.26971664825508,0.573972367869883,0.121771912515313,-0.695744280385196,0.0152068549795101,-55.8473038521187,0.003178053158227,-0.0183849081377369,0.01520685497951,-0.006662714744986666,0.0016804720149383341,0.004982242730048331
2024-02,149.51,30.78,4.85737491877843,92.9,8.82,0.475839634406043,1.24984325839203,0.575227630932692,0.0993879965266487,-0.674615627459341,0.0211286529258544,-53.883695604278,0.0012552630628089,-0.0223839159886642,0.0211286529258549,-0.007148056184187666,-0.002093639701693398,0.009241695885881
2024-03,149.72,32.03,4.67436778020606,92.93,9.193,0.47692036146698,1.24823063873945,0.575050333402143,0.098129971935163,-0.673180305337306,0.001435322122035,-53.7593209906012,-0.000177297530549,-0.0012580245914857,0.001435322122035,0.001418672896828967,-0.01400894957262893,0.012590276675799964
2024-04,153.84,32.37,4.75254865616311,92.96,9.566,0.503743808176923,1.21901692268005,0.574253576952323,0.0705097687754004,-0.644763345727724,0.0284169596095821,-51.0941475421081,-0.0007967564498199,-0.0276202031597626,0.028416959609582,9.373636081333332e-05,-0.017087381246637497,0.016993644885823965
2024-05,155.77,32.26,4.82858028518289,92.99,9.939,0.515888599848409,1.17736166071119,0.564416753519868,0.048528153671459,-0.612944907191327,0.0318184385363973,-48.3909458496261,-0.009836823432455,-0.0219816151039414,0.0318184385363969,-0.0036036258042746335,-0.016953280951729897,0.02055690675600463
2024-06,157.98,32.59,4.84749923289352,93.02,10.312,0.529653918940322,1.15069722721258,0.560117048717635,0.0304631297773133,-0.590580178494949,0.0223647286963779,-46.2616511614728,-0.0042997048022329,-0.0180650238941456,0.0223647286963779,-0.0049777615615025994,-0.022555614052616534,0.02753337561411893
2024-07,157.91,32.91,4.79823761774537,93.05,10.685,0.528888267390292,1.12493567418414,0.551274647191477,0.0223863798011844,-0.573661026992661,0.0169191515022877,-44.9014842067606,-0.008842401526158,-0.0080767499761288,0.016919151502288,-0.0076596432536153005,-0.01604112965807193,0.023700772911687595
2024-08,146.33,33.68,4.34471496437055,93.08,11.058,0.452405006670244,1.11375004145838,0.522051682709543,0.0696466760392987,-0.591698358748842,-0.0180373317561808,-48.3843381220353,-0.0292229644819339,0.0472602962381142,-0.018037331756181,-0.014121690270108267,0.007039507455946603,0.007082182814161633
2024-09,143.15,34.06,4.20287727539636,93.11,11.431,0.430111441643686,1.0917947121909,0.507302051278195,0.0771906096345098,-0.584492660912705,0.0072056978361364,-48.4017934324393,-0.0147496314313479,0.0075439335952111,0.007205697836137,-0.017604999146479932,0.015575826619065501,0.0020291725274146667
2024-10,149.67,34.26,4.36865148861646,93.14,11.804,0.474329132986824,1.06554003581528,0.513289722934035,0.0389605899472106,-0.552250312881246,0.0322423480314595,-44.6343545505382,0.0059876716558399,-0.0382300196872992,0.0322423480314589,-0.012661641419147301,0.005524736715342035,0.007136904703804968
2024-11,153.5,34.46,4.45443993035403,93.17,12.177,0.499274785564918,1.04025030457491,0.51317503004661,0.0139002444816922,-0.527075274528303,0.0251750383529431,-41.7819952431887,-0.0001146928874249,-0.0250603454655184,0.0251750383529429,-0.0029588842209776344,-0.0185821438525355,0.021541028073512936
2024-12,153.8,34.99,4.39554158330952,93.2,12.55,0.500905335379998,1.0253416408018,0.508748992060601,0.0078436566806024,-0.516592648741203,0.0104826257870996,-40.8111085080103,-0.004426037986009,-0.0060565878010898,0.0104826257871,0.0004823135941353322,-0.023115650984635795,0.022633337390500604
2025-01,156.69,35.52,4.41131756756757,93.2266666666667,12.88,0.519235527317256,1.01442019744776,0.511218574921673,-0.0080169523955833,-0.503201622526089,0.0133910262151137,-39.0541651849218,0.002469582861072,-0.0158606090761857,0.013391026215114,-0.000690382670787301,-0.015659180780931297,0.01634956345171897
2025-02,151.86,36.17,4.19850705004147,93.2533333333333,13.21,0.487639239698077,1.00725592742977,0.498298389042616,0.0106591493445394,-0.508957538387156,-0.0057559158610667,-40.5251521328483,-0.012920185879057,0.0186761017401227,-0.0057559158610669,-0.004958880334664667,-0.0010803650457175986,0.006039245380382367
2025-03,149.18,37.09,4.02210838500944,93.28,13.54,0.469547907924835,1.00769912401737,0.492415677314068,0.0228677693892334,-0.515283446703302,-0.0063259083161459,-41.6173375503562,-0.0058827117285479,0.0122086200446939,-0.0063259083161459,-0.0054444382488442996,0.005008037569543634,0.00043640067930039977
2025-04,144.35,38.13,3.78573301862051,93.3066666666667,13.87,0.436349346717621,1.01127313954273,0.482540828753451,0.04619148203583,-0.528732310789281,-0.0134488640859791,-43.7252247410691,-0.0098748485606169,0.0233237126465966,-0.013448864085979,-0.009559248722740601,0.018069478143804402,-0.008510229421063933
2025-05,144.71,38.83,3.72675766160186,93.3333333333333,14.2,0.438554425248761,1.00595117913636,0.481501868128374,0.0429474428796126,-0.524449311007987,0.0042829997812943,-43.3000441484861,-0.001038960625077,-0.0032440391562173,0.0042829997812939,-0.005598840304747267,0.010762764511691067,-0.0051639242069436665
2025-06,144.58,39.48,3.66210739614995,93.36,14.53,0.437369999593851,0.999578736983089,0.478982912192313,0.0416129125984625,-0.520595824790776,0.0038534862172109,-43.005119466518,-0.0025189559360609,-0.0013345302811501,0.0038534862172109,-0.004477588373918268,0.006248381069743069,-0.001770792695824733
2025-07,146.81,40.24,3.64835984095427,93.3866666666667,14.86,0.452390653881937,0.996188486501871,0.482859713461269,0.0304690595793322,-0.513328773040602,0.0072670517501742,-41.9460730619141,0.003876801268956,-0.0111438530191302,0.007267051750174,0.00010629490260603213,-0.005240807485499197,0.0051345125828929335
2025-08,147.51,40.86,3.61013215859031,93.4133333333333,15.19,0.456861879870836,0.989514272781794,0.482125384217543,0.0252635043467073,-0.507388888564251,0.0059398844763506,-41.2954173326576,-0.000734329243726,-0.0052055552326248,0.0059398844763509,0.00020783869638969877,-0.005894646177635031,0.005686807481245267
2025-09,147.95,41.35,3.57799274486094,93.44,15.52,0.459554859766302,0.979942906714628,0.479832588826976,0.0202777290606747,-0.500110317887651,0.0072785706765997,-40.5710109158371,-0.0022927953905669,-0.0049857752860326,0.0072785706765999,0.00028322554488769883,-0.007111727845929197,0.006828502301041601
2025-10,151.09,41.85,3.61027479091995,93.4666666666667,15.85,0.480270819259424,0.970922296612195,0.483731038623873,0.0034602193644487,-0.487191257988322,0.0129190598993294,-38.7772588059045,0.003898449796897,-0.016817509696226,0.012919059899329,0.00029044172086803216,-0.009002946738294463,0.0087125050174266
2025-11,154.34,42.2,3.65734597156398,93.4933333333333,16.18,0.501267828524642,0.95864430941162,0.486637379312088,-0.0146304492125548,-0.472006930099533,0.0151843278887888,-36.7057995366102,0.0029063406882149,-0.0180906685770035,0.015184327888789,0.0015039983648483322,-0.01329798451975403,0.011793986154905968
