base_month,target_month,ref_month,USDJPY_pred_center_min,USDJPY_pred_center_max,USDJPY_pred_center_mid,USDJPY_pred_risk_lower,USDJPY_pred_risk_upper,USDJPY_actual,USDJPY_error_pct,USDTRY_pred_center_min,USDTRY_pred_center_max,USDTRY_pred_center_mid,USDTRY_pred_risk_lower,USDTRY_pred_risk_upper,USDTRY_actual,USDTRY_error_pct,TRYJPY_pred_center_min,TRYJPY_pred_center_max,TRYJPY_pred_center_mid,TRYJPY_pred_risk_lower,TRYJPY_pred_risk_upper,TRYJPY_actual,TRYJPY_error_pct
2022-02,2022-03,2022-01,115.56541092328166,115.85237438291239,115.70889265309702,109.77637086631705,121.641414439877,118.46,-2.3223935057428413,13.694131429247268,13.773923328430714,13.734027378838991,13.029868737467584,14.438186020210399,14.6,-5.931319323020604,8.410993122328616,8.439046428053304,8.425019775190961,7.993059774327236,8.856979776054686,8.113698630136986,3.8369818654297165
2022-03,2022-04,2022-02,120.8593557513803,124.581140045023,122.72024789820165,116.42824624092339,129.0122495554799,126.05,-2.6416121394671546,15.305341131621642,16.033965172793838,15.66965315220774,14.866252855262028,16.473053449153454,14.71,6.5238147668779,7.7698272824248225,7.896547663460994,7.8331874729429085,7.431571363086188,8.234803582799628,8.569000679809653,-8.586919692986761
2022-04,2022-05,2022-03,128.00037684678838,134.12630845855142,131.06334265266992,124.343581380161,137.78310392517884,128.86,1.7098732365900224,14.820828767123286,16.080171727146485,15.450500247134887,14.65833615990625,16.242664334363525,15.57,-0.7675000184015003,7.960137430043648,9.049852107871375,8.504994768957513,8.06893436248071,8.941055175434315,8.27617212588311,2.7648366852929254
2022-05,2022-06,2022-04,130.97523307569097,134.32740751915776,132.65132029742438,125.85014167004829,139.45249892480047,133.89,-0.925147287008447,16.188008039337035,16.811982596768967,16.499995318053003,15.65402246789716,17.345968168208845,16.97,-2.769620989669983,7.989980167179905,8.090880160018436,8.04043016359917,7.628188493776586,8.452671833421755,7.8898055391868,1.909104396353667
2022-06,2022-07,2022-05,137.6146590440494,142.70810212140708,140.16138058272824,132.9751529306746,147.3476082347819,136.46,2.7124289775232553,18.01281366436902,19.187403996171664,18.600108830270344,17.646460857829016,19.55375680271167,17.41,6.835777313442525,7.4375930245634425,7.639820275066948,7.538706649815195,7.152188894621946,7.925224405008444,7.838024124066629,-3.8187873565275283
2022-07,2022-08,2022-06,138.17376448351146,139.24924753432813,138.7115060089198,131.599615015873,145.82339700196658,135.29,2.5290161940422844,17.73946247397243,18.242002558217255,17.990732516094845,17.068327935386876,18.913137096802814,18.02,-0.1624166698399278,7.633440851130799,7.78906151673095,7.711251183930875,7.315886881299825,8.106615486561925,7.507769145394007,2.7102862993823362
2022-08,2022-09,2022-07,134.13003151106545,138.23343352983437,136.1817325204499,129.19954578774,143.16391925315983,142.78,-4.621282728358375,18.332931090722,18.651372774267664,18.49215193249483,17.54403902856381,19.440264836425854,18.3,1.0500105600810419,7.191429453177717,7.540170900429124,7.36580017680342,6.988147526051996,7.743452827554844,7.802185792349727,-5.593120019958969
2022-09,2022-10,2022-08,145.55658569031075,150.68466553329884,148.1206256118048,140.52631874078497,155.71493248282462,146.9,0.8309228126649365,18.584350721420638,19.91744302095472,19.250896871187678,18.263882282380113,20.237911459995242,18.58,3.610855065595691,7.307995586440174,8.108147967720882,7.708071777080528,7.312870486124521,8.103273068036536,7.906350914962326,-2.5078464137806695
2022-10,2022-11,2022-09,149.09987479863597,151.13888499789883,150.1193798982674,142.42259470359434,157.81616509294045,142.2,5.569184175996771,18.830834134216634,19.54401484405552,19.187424489136077,18.203664198945898,20.171184779326257,18.6,3.1581961781509458,7.62892762763051,8.011906721295828,7.820417174463169,7.419455811810554,8.221378537115784,7.645161290322579,2.2923765436110934
2022-11,2022-12,2022-10,137.65037440435668,141.53289373459,139.59163406947334,132.4346179458107,146.748650193136,134.98,3.4165313894453653,17.826771883240742,18.6200215285253,18.22339670588302,17.28906317707717,19.157730234688866,18.65,-2.287417126632599,7.392600174681889,7.939345085110307,7.665972629896098,7.272929808372732,8.059015451419464,7.237533512064343,5.919684062499801
