base_month,target_month,pred_USDJPY,actual_USDJPY,error_pct_USDJPY,pred_USDTRY,actual_USDTRY,error_pct_USDTRY,pred_TRYJPY,actual_TRYJPY,error_pct_TRYJPY,regime_factor,is_regime_period,regime_description,recommendation
2022-02,2022-03,115.70161006617907,118.46,-2.3285412238906993,13.720598227474149,14.6,-6.023299811820897,8.432694270902706,8.11369863013699,3.931568761758771,1.0,No,,NORMAL: 通常の予測精度が期待できます
2022-03,2022-04,120.31256907920947,126.05,-4.551710369528386,15.160724348689834,14.71,3.0640676321538654,7.935806120609711,8.56900067980965,-7.389362924102418,1.0,No,,NORMAL: 通常の予測精度が期待できます
2022-04,2022-05,130.0247633679537,128.86,0.9038983144138573,15.122050202910586,15.57,-2.8770057616532716,8.598355489054484,8.27617212588311,3.89290312321768,1.0,No,,NORMAL: 通常の予測精度が期待できます
2022-05,2022-06,133.73715236474968,133.89,-0.11415911214452949,16.27619426746354,16.97,-4.088425059142355,8.216733602897152,7.8898055391868,4.143677079068397,1.0,No,,NORMAL: 通常の予測精度が期待できます
2022-06,2022-07,139.4676915710098,136.46,2.204082933467526,17.842601302157778,17.41,2.484786342089477,7.8165559611615265,7.83802412406663,-0.27389763753323104,1.0,No,,NORMAL: 通常の予測精度が期待できます
2022-07,2022-08,140.11765893790925,135.29,3.5683782525754033,18.415950427684333,18.02,2.197283172499075,7.6084945758364535,7.50776914539401,1.3416159779531567,1.0,No,,NORMAL: 通常の予測精度が期待できます
2022-08,2022-09,137.503859011392,142.78,-3.6952941508670727,18.919522793187998,18.3,3.3853704545792183,7.267829136837451,7.80218579234973,-6.848807112953296,1.0,No,,NORMAL: 通常の予測精度が期待できます
2022-09,2022-10,145.87262211916564,146.9,-0.6993722810308814,18.76610630681235,18.58,1.0016485834895161,7.773195980788615,7.90635091496233,-1.6841515840351367,1.0,No,,NORMAL: 通常の予測精度が期待できます
2022-10,2022-11,150.55456858679264,142.2,5.875224041345044,18.987218835162743,18.6,2.081821694423341,7.929258618327934,7.64516129032258,3.7160409992261445,1.0,No,,NORMAL: 通常の予測精度が期待できます
2022-11,2022-12,144.58089081529798,134.98,7.11282472610608,18.797452529394164,18.65,0.7906301844191169,7.691515144895955,7.23753351206434,6.2726014611865555,1.0,No,,NORMAL: 通常の予測精度が期待できます
